,B,C
1.867,1.81126319452117E-05,0.000175561031715
1.9004,0.000147489373157,0.000332848680635
1.9337,0.000145269044858,0.000131122800103
1.9671,0.000126371102081,0.000219405788637
2.0004,0.000185821218491,0.000235982718085
2.0337,0.000284131579494,0.000291561831999
2.0671,0,0.000230074934604
2.1004,9.48187510245609E-05,0.00021370768045
2.1338,0.000220063725138,0.000152991875824
2.1671,0.000122888079509,0.000389541953458
2.2004,0.000135016412837,0.000275526680315
2.2338,0.000236504606787,6.79350910166054E-05
2.2671,3.83605539619678E-05,0.000381585202457
2.3005,0.000171932868565,0.000370223558944
2.3338,0.000210554033686,9.89682047788227E-05
2.3671,0.000111794131396,0.000320468434179
2.4005,0.000230979942712,0.000256122444346
2.4338,0.000203596754428,0.000367229254095
2.4672,0.000127451876915,0.000238387526617
2.5005,0.000199962492107,0.000213355663494
2.5338,0.000208322048829,0.00031812193026
2.5672,0.000257825892444,0.000238150551288
2.6005,0.000185628989095,0.000155073617604
2.6339,0.000226489657026,0.000494975749661
2.6672,0.000127658786829,0.000507382852644
2.7005,9.3327985398674E-05,0.000403702370998
2.7339,0.000121363359182,0.000339467984445
2.7672,3.65288346491606E-05,0.000118523500342
2.8006,0.000196624153045,0.000343469543659
2.8339,0.000230446357533,0.000452988310722
2.8672,5.43145765038749E-05,0.000314328392168
2.9006,0.000107875632706,0.000280026226009
2.9339,0.000201370982429,0.000385150926914
2.9673,0.000121755217549,0.000263234715654
3.0006,0.000225311612493,0.000328905795953
3.0339,0.000126743540259,0.00029106100406
3.0673,9.7644093183764E-05,0.00041583914781
3.1006,8.3386338912105E-05,0.000328575104299
3.134,4.40569645381854E-05,0.000189863341564
3.1673,0,0.000245648234519
3.2006,0.000267075246347,0.000492764967339
3.234,5.88785421280592E-05,0.000375547873143
3.2673,8.97148194380829E-05,0.000345279941782
3.3007,6.12329325852275E-05,0.000462139574571
3.334,0.000117667276799,0.000342256063679
3.3673,8.94131851209131E-05,0.000526076904102
3.4007,7.3455210906463E-05,0.000289052004381
3.434,0,0.000608748374369
3.4674,0,0.0005736605128
3.5007,0.000202490491481,0.000484148888127
3.534,0.000163103348486,0.000415111164523
3.5674,6.19597095077886E-05,0.000299799154507
3.6007,0.000247907957649,0.000521386120626
3.6341,0.00014347631359,0.000292339285564
3.6674,0.000222539803255,0.000547952033333
3.7007,4.83341929219637E-05,0.000276688760971
3.7341,0.000139509804513,0.000351486453395
3.7674,0.000332179408673,0.00026219335332
3.8008,0,0.000436482930282
3.8341,5.27259271145739E-06,0.000256842365406
3.8674,0,0.000626587352325
3.9008,9.989590266132E-05,0.000486202806581
3.9341,0.000116641970556,0.000408663592044
3.9675,0.0001021579759,0.00043031515599
4.0008,0.000188391653715,0.000470401974811
4.0341,0.00010209124036,0.00048546560265
4.0675,2.71242643922287E-05,0.000446474345643
4.1008,0.00015976419117,0.000520404319621
4.1342,0,0.000551677584246
4.1675,0.000193775527284,0.000610721242677
4.2008,1.98701775228171E-05,0.00032614189028
4.2342,0,0.000528524092287
4.2675,0,0.000496068769146
4.3009,0.000145265378591,0.000644389100157
4.3342,4.71774156401507E-05,0.000547943876961
4.3675,0.000281308188151,0.000438472167219
4.4009,0,0.000564977863172
4.4342,0.000189732305541,0.000588520739683
4.4676,0.000158994919967,0.000369536862981
4.5009,5.28720405393174E-05,0.000433992427005
4.5342,0,0.000679985400144
4.5676,2.80477363539335E-05,0.000509292107095
4.6009,0,0.000445272505603
4.6343,0.000254789560945,0.000548020741173
4.6676,0,0.000447095624997
4.7009,0.000133979201267,0.000706167717196
4.7343,0,0.000526491883001
4.7676,0,0.000811242938989
4.801,0,0.00068941454931
4.8343,0,0.000596996625184
4.8676,0.000173468828458,0.000643974243646
4.901,0.000165710717329,0.000672712688413
4.9343,0,0.000551099308263
4.9677,0,0.00065442345435
5.001,0.000245352614063,0.000634457115199
5.0343,7.62715368528743E-05,0.000662016741786
5.0677,0.000136786218814,0.000620228602222
5.101,0,0.000508466948668
5.1344,0,0.000643296578806
5.1677,0,0.000556725368158
5.201,8.00253886814228E-05,0.000538619208649
5.2344,0,0.000661851223931
5.2677,0.000213696546943,0.000505930200196
5.3011,0,0.000752249362103
5.3344,0.000253489893645,0.000394988235591
5.3677,8.45911850664756E-05,0.000723743955957
5.4011,6.53137659960085E-05,0.000602658279029
5.4344,0,0.000654214834332
5.4678,0.000292214462265,0.000503579006427
5.5011,0.000133834250359,0.000494261065607
5.5344,0.000154048126191,0.00064283600617
5.5678,0.0001147402651,0.000665879278713
5.6011,0.00020095070545,0.00063109762669
5.6345,0,0.000676144612995
5.6678,0.000135033706306,0.000600855416863
5.7011,0.000276520271343,0.000734863820438
5.7345,0.000241528289022,0.000837320600546
5.7678,8.70167318357774E-05,0.000670330331035
5.8012,0,0.000598883669142
5.8345,9.5664517251294E-06,0.000671698201671
5.8678,8.51479376366874E-05,0.000612657554252
5.9012,0.000236771483104,0.000607891719407
5.9345,9.55087893231982E-05,0.000798328802093
5.9679,6.01762501680988E-05,0.000695089991429
6.0012,0.000223905494145,0.000498478014007
6.0345,7.38944380985598E-05,0.000547121747742
6.0679,6.80298761373109E-05,0.000634271355225
6.1012,0,0.000832146713622
6.1346,0.000209572092621,0.000502821248172
6.1679,8.20171353244483E-05,0.00064942373082
6.2012,1.88096746513562E-06,0.000578021178246
6.2346,0,0.000523568348057
6.2679,0.000138235004982,0.000672785604254
6.3013,0.000219769884043,0.000716520624389
6.3346,0.000229848753731,0.000856803861384
6.3679,8.95493867076249E-05,0.000634167224491
6.4013,0.000105893669977,0.000771380853561
6.4346,0.00012329062011,0.000545164042396
6.468,0,0.000663039163227
6.5013,4.83869152717097E-05,0.00068938294259
6.5346,5.73671616626114E-05,0.000617238469538
